"Price","URL","Type","Location","Bedrooms","Bathrooms","Parking.Spaces","Erf.Size","Floor.Size","Latitude","Longitude"
650000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115227789","Apartment","Belhar",2,1,0,NA,38,-33.9447222,18.6258333
1250000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115227696","Apartment","Muizenberg",2,1,1,NA,62,-34.0978389,18.4845707617506
1095000,"https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115226504","Apartment","Salt River",2,1,1,NA,56,-33.9317008,18.4610056
695000,"https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115226148","Land","Lotus River",0,0,0,566,NA,-34.0430556,18.5213889
430000,"https://www.property24.com/for-sale/bishop-lavis/cape-town/western-cape/8121/115225685","House","Bishop Lavis",2,1,4,252,NA,-33.9486111,18.5758333
1400000,"https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115225332","House","Retreat",2,1,6,345,NA,-34.0541667,18.4763889
650000,"https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115225288","House","Langa",2,1,1,200,NA,-33.9455556,18.53
650000,"https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115043545?plId=1842782&amp;plt=4","House","Bonteheuwel",2,1,1,206,NA,-33.94607325,18.5035322
850000,"https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115223667","Apartment","Bridgetown",2,1,1,NA,56,-33.9563889,18.5305556
1199000,"https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115198173?plId=1848740&amp;plt=4","Apartment","Mowbray",1,1,0,NA,21,-33.9483333,18.4741667
650000,"https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115164660?plId=1842782&amp;plt=4","House","Bonteheuwel",2,1,1,206,NA,-33.94607325,18.5035322
1250000,"https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115097986?plId=1832326&amp;plt=4","Apartment","Muizenberg",2,1,1,NA,62,-34.0978389,18.4845707617506
685000,"https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115042280?plId=1825025&amp;plt=4","Apartment","Wynberg",1,1,1,NA,54,-34.0036249,18.4672507
1275000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115080272?plId=1818248&amp;plt=4","Apartment","Plumstead",1,1,1,NA,48,-34.02,18.4772222
680000,"https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/113698215","Apartment","Belhar",2,1,0,NA,38,-33.9447222,18.6258333
1450000,"https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223491","Townhouse","Plumstead",2,1,1,NA,54,-34.02,18.4772222
1275000,"https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115164899","Apartment","Heathfield",2,1,1,NA,53,-33.9162866438176,18.3918808326189
875000,"https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114948765?plId=1838637&amp;plt=4","Apartment","Kenilworth",1,1,1,NA,31,-33.9941667,18.4683333
