Price,URL,Type,Location,Bedrooms,Bathrooms,Parking Spaces,Erf Size,Floor Size
650000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/115227789,2 Bedroom Apartment,Belhar,2,1,,,38
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115227696,2 Bedroom Apartment,Muizenberg,2,1,1,,62
1095000,https://www.property24.com/for-sale/salt-river/cape-town/western-cape/10158/115226504,2 Bedroom Apartment,Salt River,2,1,1,,56
695000,https://www.property24.com/for-sale/lotus-river/cape-town/western-cape/10212/115226148,Vacant Land,Lotus River,,,,566,
430000,https://www.property24.com/for-sale/bishop-lavis/cape-town/western-cape/8121/115225685,2 Bedroom House,Bishop Lavis,2,1,4,252,
1400000,https://www.property24.com/for-sale/retreat/cape-town/western-cape/9034/115225332,2 Bedroom House,Retreat,2,1,6,345,
650000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115225288,2 Bedroom House,Langa,2,1,1,200,
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115043545?plId=1842782&amp;plt=4,2 Bedroom House,Bonteheuwel,2,1,1,206,
850000,https://www.property24.com/for-sale/bridgetown/cape-town/western-cape/8723/115223667,2 Bedroom Apartment,Bridgetown,2,1,1,,56
1199000,https://www.property24.com/for-sale/mowbray/cape-town/western-cape/8677/115198173?plId=1848740&amp;plt=4,1 Bedroom Apartment,Mowbray,1,1,,,21
650000,https://www.property24.com/for-sale/bonteheuwel/cape-town/western-cape/8739/115164660?plId=1842782&amp;plt=4,2 Bedroom House,Bonteheuwel,2,1,1,206,
1250000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115097986?plId=1832326&amp;plt=4,2 Bedroom Apartment,Muizenberg,2,1,1,,62
685000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115042280?plId=1825025&amp;plt=4,1 Bedroom Apartment,Wynberg,1,1,1,,54
1275000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115080272?plId=1818248&amp;plt=4,1 Bedroom Apartment,Plumstead,1,1,1,,48
680000,https://www.property24.com/for-sale/belhar/cape-town/western-cape/8132/113698215,2 Bedroom Apartment,Belhar,2,1,,,38
1450000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115223491,2 Bedroom Townhouse,Plumstead,2,1,1,,54
1275000,https://www.property24.com/for-sale/heathfield/cape-town/western-cape/10207/115164899,2 Bedroom Apartment,Heathfield,2,1,1,,53
875000,https://www.property24.com/for-sale/kenilworth/cape-town/western-cape/8669/114948765?plId=1838637&amp;plt=4,1 Bedroom Apartment,Kenilworth,1,1,1,,31
1350000,https://www.property24.com/for-sale/pelican-park/cape-town/western-cape/9029/115110349?plId=1845217&amp;plt=4,3 Bedroom House,Pelican Park,3,1,5,206,
1200000,https://www.property24.com/for-sale/westlake/cape-town/western-cape/11740/113927603,Commercial Property,Westlake,,,,,50
595000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115223252,1 Bedroom Apartment,Pinelands,1,1,,,22
1350000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115213590,1 Bedroom Apartment,Muizenberg,1,1,1,,40
1100000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115202085,2 Bedroom Apartment,Muizenberg,2,1,1,,56
1299000,https://www.property24.com/for-sale/ottery/cape-town/western-cape/10090/115102892?plId=1822862&amp;plt=4,2 Bedroom Apartment,Ottery,2,2,1,,52
645000,https://www.property24.com/for-sale/ocean-view/cape-town/western-cape/9069/115216326,4 Bedroom House,Ocean View,4,2,2,204,
995000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115196513,1 Bedroom Apartment,Plumstead,1,1,1,,65
1500000,https://www.property24.com/for-sale/muizenberg/cape-town/western-cape/9025/115198342,3 Bedroom House,Muizenberg,3,2,3,200,
840000,https://www.property24.com/for-sale/plumstead/cape-town/western-cape/10094/115189265,1 Bedroom Apartment,Plumstead,1,1,1,,32
360000,https://www.property24.com/for-sale/wynberg/cape-town/western-cape/10109/115126040,1 Bedroom Apartment,Wynberg,1,1,,,31
1195000,https://www.property24.com/for-sale/costa-da-gama/cape-town/western-cape/13856/115183722,2 Bedroom Apartment,Costa Da Gama,2,1,2,,62
1494995,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/115155486?plId=1832768&amp;plt=4,1 Bedroom Apartment,Woodstock,1,1,1,,42
1195000,https://www.property24.com/for-sale/camps-bay/cape-town/western-cape/11014/115148091?plId=1832768&amp;plt=4,1 Bedroom Apartment,Rosebank,1,1,1,,68
1495000,https://www.property24.com/for-sale/rondebosch-village/cape-town/western-cape/8660/115191220,1 Bedroom Apartment,Rondebosch Village,1,1,1,,52
850000,https://www.property24.com/for-sale/langa/cape-town/western-cape/9117/115223177,6 Bedroom House,Langa,6,1,5,230,
1189000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/115178607,0.5 Bedroom Apartment,Zonnebloem,0.5,1,1,,44
995000,https://www.property24.com/for-sale/thornton/cape-town/western-cape/8112/115218798,2 Bedroom Apartment,Thornton,2,1,1,,53
1500000,https://www.property24.com/for-sale/zonnebloem/cape-town/western-cape/10166/114630103?plId=1830249&amp;plt=4,2 Bedroom Apartment,Zonnebloem,2,1,1,,49
1395000,https://www.property24.com/for-sale/pinelands/cape-town/western-cape/8017/115223141,1 Bedroom Apartment,Pinelands,1,1,,,36
